Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,target
1,1,1,9500,1,1,136.0,19,38,9,119.3,1,0,1,0,1,18,0,8,8,7,13.21428571,0,8,13.21428571,0,12.7,3.7,-1.7,2
1,1,2,9853,1,1,133.0,19,37,4,130.2,1,0,1,0,0,19,0,6,6,0,0.0,0,0,0.0,0,12.7,3.7,-1.7,0
1,53,1,9254,1,42,110.0,1,1,4,111.8,1,0,1,0,1,21,0,6,7,6,10.57142857,0,8,11.0,0,8.9,1.4,3.51,2
1,1,1,9085,1,1,149.0,38,37,5,137.1,1,0,1,0,1,18,0,5,7,4,13.25,0,5,12.0,0,10.8,1.4,1.74,2
1,1,1,9773,1,1,127.0,19,37,9,120.7,1,0,1,0,0,20,0,6,6,5,13.2,0,7,0.0,0,15.5,2.8,-4.06,0
1,18,1,9238,1,1,137.0,19,38,5,137.4,1,0,1,0,0,18,0,6,10,1,12.0,0,14,11.0,0,10.8,1.4,1.74,1
1,17,2,9500,1,1,135.0,19,1,5,127.3,1,0,1,0,0,18,0,7,8,7,13.30625,0,8,14.545,0,15.5,2.8,-4.06,2
1,1,1,9130,1,1,137.0,3,19,3,136.3,1,0,1,0,0,20,0,5,8,4,12.5,1,8,12.25,2,10.8,1.4,1.74,2
1,1,1,9853,1,1,140.0,19,19,7,124.6,1,0,1,0,0,18,0,7,7,6,11.66666667,0,8,13.5,0,16.2,0.3,-0.92,1
1,1,3,171,1,1,122.0,1,1,9,120.3,0,0,1,0,1,21,0,0,0,0,0.0,0,0,0.0,0,11.1,0.6,2.02,2
1,18,4,9556,1,1,127.0,1,38,4,121.8,1,0,1,0,0,20,0,7,14,7,11.4375,0,9,11.425,0,12.7,3.7,-1.7,1
1,1,4,9500,1,1,142.0,19,19,1,125.5,1,0,1,0,0,18,0,8,12,7,12.85714286,0,12,12.85714286,0,12.7,3.7,-1.7,2
1,1,4,9670,1,1,125.0,1,38,4,114.9,1,0,1,0,1,19,0,6,8,6,13.375,0,7,12.28571429,0,11.1,0.6,2.02,2
1,1,1,9500,1,1,126.0,19,19,3,123.9,0,0,1,0,0,19,0,7,8,6,13.29666667,0,9,14.11428571,0,11.1,0.6,2.02,2
1,1,1,9238,1,1,151.0,19,38,9,157.0,1,1,1,0,1,18,0,6,8,5,11.6,0,12,11.0,0,7.6,2.6,0.32,1
1,17,2,9238,1,1,115.0,19,38,7,116.4,1,0,1,0,0,21,0,6,9,6,11.375,0,9,13.28571429,0,16.2,0.3,-0.92,2
1,1,1,9085,1,1,138.0,19,19,3,131.0,1,0,1,0,0,18,0,5,9,5,12.66666667,2,7,13.0,0,9.4,-0.8,-3.12,1
1,1,1,9147,1,1,135.0,19,1,9,122.1,1,0,1,0,0,20,0,5,6,5,12.0,0,6,12.33333333,0,16.2,0.3,-0.92,2
1,17,2,9500,1,1,127.0,3,3,1,118.8,1,0,1,1,0,19,0,7,9,6,12.93333333,0,7,13.71666667,0,16.2,0.3,-0.92,1
1,44,1,9003,1,39,150.0,4,5,4,150.0,0,0,1,1,0,21,0,6,15,5,11.85714286,0,17,10.57142857,0,16.2,0.3,-0.92,1
1,51,1,9070,1,1,125.0,42,3,125,130.0,1,0,1,1,0,20,2,6,7,6,12.83333333,0,9,13.4,0,8.9,1.4,3.51,2
1,1,1,9147,1,1,143.0,1,1,4,138.8,0,0,0,1,0,18,0,5,9,3,11.33333333,0,8,13.5,0,8.9,1.4,3.51,1
1,18,1,8014,0,1,138.0,19,1,9,134.5,1,0,1,0,0,19,0,6,6,6,12.66666667,0,8,14.375,0,12.4,0.5,1.79,2
1,1,1,9991,0,1,130.0,2,37,3,131.4,0,0,1,1,0,34,0,5,6,5,12.4,0,9,13.42857143,0,13.9,-0.3,0.79,2
1,39,1,33,1,1,130.0,38,37,9,102.5,0,1,0,1,0,37,0,7,7,0,0.0,0,7,10.0,0,8.9,1.4,3.51,0
1,39,1,9119,1,10,133.1,34,37,0,128.8,1,0,1,1,0,43,0,5,0,0,0.0,0,0,0.0,0,7.6,2.6,0.32,0
1,43,1,9147,1,1,140.0,37,37,6,122.9,0,0,1,0,0,55,0,5,10,1,10.0,0,8,12.0,2,16.2,0.3,-0.92,0
4,39,1,9991,0,1,120.0,19,19,9,113.9,1,0,1,0,0,39,0,5,8,5,11.0,0,5,11.6,0,7.6,2.6,0.32,2
1,44,1,9130,1,39,120.0,4,4,3,120.0,0,1,0,0,0,20,2,6,13,3,11.66666667,0,11,12.0,0,12.4,0.5,1.79,0
1,1,5,9773,1,1,126.0,3,3,2,121.1,0,1,1,0,0,18,0,6,6,4,12.75,0,5,0.0,0,12.7,3.7,-1.7,0
1,1,2,9147,1,1,133.0,3,19,2,120.4,1,0,1,0,0,22,0,5,5,5,14.8,0,5,15.8,0,8.9,1.4,3.51,2
1,1,6,9500,1,1,103.0,1,3,2,100.6,1,0,1,0,0,22,0,7,9,5,13.928,0,9,14.34285714,0,11.1,0.6,2.02,2
1,17,1,9773,1,1,120.0,1,38,5,121.4,0,0,0,0,0,20,0,6,7,4,13.0,0,7,13.8,0,12.4,0.5,1.79,0
1,39,1,9991,0,1,133.1,37,37,9,109.7,0,0,1,0,0,29,0,5,0,0,0.0,0,0,0.0,0,16.2,0.3,-0.92,0
1,17,1,9991,0,1,154.0,38,38,4,134.1,0,0,1,0,0,24,0,5,9,2,11.5,0,11,14.33333333,1,7.6,2.6,0.32,1
1,17,2,9238,1,1,130.0,19,19,9,127.6,1,0,1,0,0,18,0,6,6,6,11.66666667,0,8,13.2,0,11.1,0.6,2.02,2
1,17,6,9500,1,1,132.0,37,19,7,132.4,1,0,1,0,1,22,0,7,8,6,13.51666667,0,9,13.77142857,0,11.1,0.6,2.02,2
1,44,1,8014,0,39,130.0,1,19,9,133.4,0,0,1,0,1,21,3,6,6,6,11.5,0,7,13.28571429,0,12.4,0.5,1.79,2
1,1,1,9238,1,1,139.0,37,38,9,126.1,0,0,1,0,1,19,0,6,7,5,12.33333333,0,7,12.83333333,0,12.7,3.7,-1.7,2
1,39,1,9254,1,1,130.0,19,38,9,113.5,0,0,1,0,1,24,0,6,6,6,13.66666667,0,6,14.16666667,0,12.4,0.5,1.79,2
1,1,1,9500,1,1,139.0,37,38,6,121.3,1,0,1,0,1,19,0,8,10,6,11.83333333,0,10,11.83333333,0,9.4,-0.8,-3.12,1
1,1,1,9773,1,1,127.0,1,19,7,121.8,1,0,1,0,1,20,0,6,11,4,14.0,0,12,11.0,0,9.4,-0.8,-3.12,1
1,1,3,9130,1,1,167.0,37,37,90,159.3,0,0,1,0,0,19,0,5,7,5,14.71428571,0,5,15.8,0,7.6,2.6,0.32,2
1,39,1,9991,0,1,130.0,38,38,9,120.0,0,0,1,0,0,27,0,5,12,5,10.6,0,10,11.0,0,9.4,-0.8,-3.12,0
1,1,1,9500,1,1,130.0,1,19,5,129.1,1,0,1,0,0,18,0,7,9,7,13.04444444,0,10,13.595,0,15.5,2.8,-4.06,2
2,7,1,9254,1,3,130.0,1,3,4,130.0,0,0,1,0,0,39,0,6,10,0,0.0,0,6,0.0,0,12.4,0.5,1.79,0
1,39,1,9130,1,40,129.0,3,3,2,155.3,1,0,1,0,0,27,0,6,9,5,13.0,0,13,12.9,0,12.4,0.5,1.79,0
1,17,1,9500,1,1,141.0,38,38,7,139.8,1,0,1,0,0,18,0,8,8,8,14.935,0,8,14.935,0,9.4,-0.8,-3.12,2
1,1,3,171,1,1,125.0,38,37,4,115.2,1,0,1,0,0,18,0,0,0,0,0.0,0,0,0.0,0,7.6,2.6,0.32,1
1,1,2,9500,1,1,125.0,19,19,9,114.9,0,0,1,0,0,18,0,7,8,6,13.13333333,0,12,12.22142857,0,16.2,0.3,-0.92,2
1,44,1,9238,1,39,130.0,19,1,9,131.9,0,0,1,0,1,21,3,6,7,6,12.0,0,7,12.0,0,13.9,-0.3,0.79,2
1,17,3,171,1,1,133.0,1,37,4,126.0,1,0,1,1,1,19,0,0,0,0,0.0,0,0,0.0,0,10.8,1.4,1.74,1
1,17,1,9070,1,1,127.0,1,1,3,130.2,1,0,1,1,0,19,0,6,6,5,11.4,0,8,10.0,0,10.8,1.4,1.74,1
1,43,1,9070,1,1,116.0,1,1,3,120.9,0,0,1,1,0,24,0,6,6,0,0.0,0,6,0.0,0,12.7,3.7,-1.7,1
4,42,1,9500,1,19,133.1,1,1,5,126.0,1,0,1,1,0,29,2,7,10,5,11.9,0,10,11.0,0,13.9,-0.3,0.79,0
1,1,3,171,1,1,139.0,19,19,5,128.2,1,0,1,1,1,19,0,0,0,0,0.0,0,0,0.0,0,10.8,1.4,1.74,2
1,44,1,9003,1,39,130.0,19,37,9,130.0,1,0,1,1,0,23,0,6,8,6,12.57142857,0,7,12.42857143,0,8.9,1.4,3.51,2
1,1,3,9147,1,1,125.0,1,38,7,120.1,0,1,1,1,0,19,0,5,8,5,11.2,0,10,10.75,3,16.2,0.3,-0.92,0
1,39,1,9254,1,1,160.0,19,37,7,100.0,0,0,1,1,0,26,0,6,7,6,12.0,0,8,10.8,0,12.7,3.7,-1.7,1
1,17,1,9147,1,1,148.0,38,37,5,134.0,0,0,1,1,0,18,0,5,9,0,0.0,0,5,0.0,0,7.6,2.6,0.32,1
1,17,1,9500,1,1,150.0,37,19,8,130.8,0,0,1,1,0,24,0,7,8,7,11.975,0,8,13.75,0,13.9,-0.3,0.79,2
1,1,1,171,1,1,141.0,19,19,5,135.8,1,0,1,1,0,19,0,0,0,0,0.0,0,0,0.0,0,15.5,2.8,-4.06,0
1,17,4,9254,1,1,118.0,38,37,5,111.7,1,0,1,1,0,18,0,6,12,3,11.66666667,0,12,12.0,0,12.4,0.5,1.79,0
1,1,2,9773,1,1,142.0,38,38,9,132.9,1,0,1,1,0,18,0,6,8,6,12.33333333,0,11,12.33333333,0,10.8,1.4,1.74,2
1,17,3,9147,1,1,120.0,19,19,4,115.5,1,1,1,1,0,18,0,5,8,3,10.33333333,0,11,10.85714286,0,10.8,1.4,1.74,0
1,18,4,9254,1,1,106.0,19,37,7,106.0,1,0,1,1,1,21,0,6,8,4,10.5,0,11,11.0,0,9.4,-0.8,-3.12,0
1,17,4,9773,1,1,121.0,1,19,9,120.3,1,1,1,1,1,19,0,6,6,6,13.66666667,0,6,13.33333333,0,8.9,1.4,3.51,2
1,17,4,9500,1,1,150.0,38,37,9,130.8,0,0,1,1,1,22,0,7,7,7,14.84285714,0,9,15.05555556,0,16.2,0.3,-0.92,2
2,39,1,8014,0,1,120.0,37,37,9,117.0,0,0,1,1,0,33,0,6,8,6,12.0,0,6,11.66666667,0,10.8,1.4,1.74,2
1,1,6,9853,1,1,114.0,19,19,9,110.2,1,0,1,1,0,20,0,6,8,5,12.2,0,7,12.2,0,10.8,1.4,1.74,0
1,39,1,9991,0,2,140.0,3,3,2,155.7,1,0,1,1,0,35,0,1,1,0,0.0,1,0,0.0,0,10.8,1.4,1.74,0
1,39,1,9003,1,4,160.0,3,3,4,180.4,0,1,1,1,0,24,6,12,17,6,12.16666667,0,14,13.3,0,12.4,0.5,1.79,0
1,17,1,9254,1,1,120.0,19,19,4,125.5,0,0,1,1,0,18,0,5,6,5,12.0,0,8,11.33333333,0,12.7,3.7,-1.7,1
2,39,1,8014,0,1,130.0,37,37,9,110.0,1,0,1,0,0,33,0,6,7,6,11.0,0,11,11.0,0,9.4,-0.8,-3.12,2
1,42,1,9500,1,1,160.0,37,38,9,161.0,1,0,1,0,1,22,0,8,8,7,13.08,0,8,13.08,0,10.8,1.4,1.74,2
1,39,1,9670,1,1,120.0,1,19,4,100.0,0,0,1,0,1,25,0,5,7,4,10.5,0,7,11.6,0,9.4,-0.8,-3.12,2
1,17,1,9070,1,1,124.0,19,38,4,117.6,1,0,1,1,0,20,0,6,9,6,10.66666667,1,6,11.2,0,7.6,2.6,0.32,2
1,1,6,9147,1,1,143.0,38,37,9,128.7,1,0,1,1,0,23,0,5,6,4,14.0,0,5,13.8,0,11.1,0.6,2.02,1
1,43,2,9119,1,1,115.0,38,19,9,112.2,1,1,1,1,0,18,0,5,9,2,10.0,0,9,0.0,0,15.5,2.8,-4.06,1
1,39,1,9500,1,1,133.1,1,1,4,100.8,0,0,1,1,0,24,0,7,18,0,0.0,0,7,0.0,0,13.9,-0.3,0.79,0
1,17,2,9773,1,1,133.1,19,1,9,105.0,1,0,0,0,0,21,0,6,6,6,14.0,0,6,13.5,0,8.9,1.4,3.51,2
1,15,1,9130,1,1,133.1,1,1,4,100.0,0,0,1,0,0,26,0,6,7,2,12.0,1,6,0.0,0,8.9,1.4,3.51,0
2,39,1,9853,1,10,133.1,37,34,0,115.5,0,0,1,0,0,39,0,6,12,3,12.66666667,0,14,0.0,1,7.6,2.6,0.32,0
2,39,1,8014,0,1,133.1,37,19,9,114.0,0,0,1,0,0,44,2,8,11,8,11.875,0,7,12.33333333,0,12.7,3.7,-1.7,2
1,15,1,9119,1,1,130.0,38,3,9,137.0,1,0,1,1,0,19,0,5,9,5,14.0,0,11,13.25,0,13.9,-0.3,0.79,1
1,1,5,9773,1,1,135.0,37,1,5,124.9,1,0,1,0,0,18,0,6,6,6,13.66666667,0,6,13.33333333,0,8.9,1.4,3.51,2
1,1,5,9500,1,1,132.0,37,37,7,120.3,1,0,1,0,1,18,0,7,7,7,13.75,0,9,14.47777778,0,12.4,0.5,1.79,2
1,1,1,9085,1,1,135.0,1,2,9,134.3,1,0,1,0,0,19,0,5,7,5,14.2,2,7,13.8,0,12.7,3.7,-1.7,1
1,1,4,9500,1,1,115.0,3,3,2,111.5,1,1,0,0,0,19,0,7,10,4,11.96,0,7,0.0,0,13.9,-0.3,0.79,0
1,53,1,9085,1,42,130.0,38,38,9,128.8,0,0,1,0,0,21,7,10,12,8,12.875,0,14,13.4,0,8.9,1.4,3.51,0
1,1,4,171,1,1,133.1,1,1,9,110.0,1,0,1,0,0,20,0,0,0,0,0.0,0,0,0.0,0,16.2,0.3,-0.92,2
2,39,1,8014,0,1,130.0,37,37,6,113.5,1,0,1,0,0,36,0,6,0,0,0.0,0,0,0.0,0,9.4,-0.8,-3.12,0
4,39,1,9003,1,12,133.1,37,37,9,160.0,0,0,1,0,0,43,13,18,19,18,14.63157895,0,14,14.23076923,1,15.5,2.8,-4.06,2
1,18,1,9853,1,1,123.0,19,19,9,117.4,1,0,1,0,0,19,0,6,0,0,0.0,0,0,0.0,0,11.1,0.6,2.02,0
1,51,1,9070,1,1,130.0,3,1,2,122.2,0,1,1,0,0,20,4,10,12,10,13.0,0,11,12.27272727,0,11.1,0.6,2.02,2
1,1,2,9238,1,1,122.0,37,38,4,118.2,1,0,1,0,0,19,0,6,0,0,0.0,0,0,0.0,0,16.2,0.3,-0.92,0
1,1,1,9085,1,1,113.0,1,1,4,106.7,1,0,1,0,0,20,0,6,15,4,14.2,0,17,13.25,0,15.5,2.8,-4.06,0
1,1,5,9500,1,1,111.0,3,4,4,108.2,1,0,1,0,0,20,2,7,9,6,13.26666667,0,10,12.3,0,12.4,0.5,1.79,0
1,17,2,9853,1,1,133.1,19,1,9,107.0,1,0,1,0,0,20,0,7,12,6,11.66666667,0,10,13.0,0,16.2,0.3,-0.92,1
1,1,1,9238,1,1,142.0,37,37,6,136.1,1,0,1,0,0,18,0,6,8,6,13.85714286,0,6,15.0,0,13.9,-0.3,0.79,2
1,17,2,9147,1,1,123.0,1,38,4,115.3,1,0,1,0,1,18,0,5,9,3,13.0,0,11,11.0,0,8.9,1.4,3.51,1
1,1,1,9085,1,1,131.0,19,19,9,139.8,1,0,1,0,0,19,0,5,6,5,13.4,0,5,12.8,0,10.8,1.4,1.74,2
1,1,3,9773,1,1,158.0,1,38,4,157.0,1,0,1,0,0,18,0,6,6,6,12.66666667,0,7,12.57142857,0,10.8,1.4,1.74,2
1,17,2,9500,1,1,122.0,37,37,9,131.0,1,0,1,0,0,18,0,7,7,6,12.51666667,1,7,12.51666667,1,7.6,2.6,0.32,0
1,43,1,9500,1,1,130.0,38,38,9,100.0,0,0,1,0,0,20,0,7,11,6,11.61666667,0,7,13.0,0,13.9,-0.3,0.79,1
1,17,1,9238,1,1,154.0,19,37,9,140.4,1,0,1,0,1,20,0,6,13,2,10.0,0,12,10.75,0,7.6,2.6,0.32,1
1,17,1,9147,1,1,120.0,19,19,3,113.4,0,0,1,0,0,20,0,5,11,3,10.33333333,0,10,10.66666667,0,12.4,0.5,1.79,1
1,1,2,9085,1,1,140.0,37,38,9,137.0,0,0,1,0,0,18,0,5,12,5,13.14285714,2,6,11.4,0,9.4,-0.8,-3.12,2
1,1,1,9147,1,1,127.0,2,19,4,121.8,0,0,1,0,0,18,0,5,5,5,12.6,0,5,14.0,0,11.1,0.6,2.02,2
1,17,1,9254,1,1,133.1,1,1,4,131.0,1,0,1,0,0,21,0,6,12,3,11.0,0,12,11.0,0,9.4,-0.8,-3.12,0
1,1,2,9147,1,1,120.0,19,19,9,118.6,1,0,1,0,0,19,0,5,8,5,10.8,0,9,11.25,2,16.2,0.3,-0.92,2
1,1,1,171,1,1,137.0,3,19,2,122.3,0,0,1,0,0,19,0,0,0,0,0.0,0,0,0.0,0,10.8,1.4,1.74,0
1,1,1,9670,1,1,131.0,38,38,9,127.9,0,0,1,0,1,19,0,5,5,5,12.8,0,5,14.2,0,9.4,-0.8,-3.12,2
1,1,1,9085,1,1,130.0,19,38,4,121.3,1,0,1,0,0,19,0,6,15,6,14.16666667,0,13,12.2,0,15.5,2.8,-4.06,2
1,17,6,9556,1,1,122.0,1,1,4,117.1,1,0,1,0,0,19,0,7,12,5,12.1,0,0,0.0,0,13.9,-0.3,0.79,0
1,44,1,9085,1,39,160.0,37,37,9,160.0,1,0,1,0,0,20,1,6,7,6,14.16666667,0,17,13.77777778,0,12.4,0.5,1.79,2
1,1,1,9853,1,1,146.0,19,38,9,145.3,1,0,1,0,1,18,0,6,8,5,12.8,0,7,13.4,0,9.4,-0.8,-3.12,1
1,17,3,9238,1,1,131.0,1,39,5,122.6,1,0,1,0,0,18,0,6,7,6,13.0,0,6,13.66666667,0,12.4,0.5,1.79,2
1,17,6,9500,1,1,132.0,1,37,8,128.0,1,0,1,0,0,19,0,7,7,7,13.46714286,0,9,15.01111111,0,12.4,0.5,1.79,2
1,1,3,9500,1,1,138.0,19,19,5,124.9,1,0,1,0,1,18,0,7,9,7,13.2375,0,9,13.74285714,0,13.9,-0.3,0.79,0
1,17,2,9070,1,1,130.0,37,37,9,123.7,1,0,1,0,0,18,0,6,6,6,12.33333333,0,6,13.0,0,7.6,2.6,0.32,2
1,1,4,9147,1,1,126.0,1,19,4,120.1,1,0,1,0,0,19,0,5,7,5,12.4,0,5,14.6,0,8.9,1.4,3.51,2
1,17,6,9500,1,1,148.0,1,19,3,131.7,1,0,1,0,0,19,0,7,8,5,14.0,0,7,0.0,0,13.9,-0.3,0.79,0
1,43,1,9238,1,1,130.0,38,37,9,133.2,0,0,1,0,0,20,5,9,15,9,11.66666667,0,8,11.71428571,0,7.6,2.6,0.32,2
1,1,1,9670,1,1,117.0,1,38,3,109.3,0,1,0,0,1,19,0,6,7,5,12.0,0,9,12.5,0,12.4,0.5,1.79,0
1,17,1,9670,1,1,120.0,19,19,5,113.0,1,0,1,0,0,20,0,5,7,4,12.2,0,5,11.5,0,7.6,2.6,0.32,2
1,1,1,9773,1,1,153.0,1,1,141,157.9,0,1,1,0,1,18,0,6,6,6,14.83333333,0,6,14.83333333,0,8.9,1.4,3.51,2
1,1,2,9500,1,1,117.0,19,1,4,112.1,0,0,1,0,1,20,0,7,9,5,13.188,0,9,12.89285714,0,11.1,0.6,2.02,1
1,18,1,9500,1,1,178.0,19,1,4,174.7,0,0,1,0,0,18,0,7,8,7,17.125,0,8,17.5875,0,13.9,-0.3,0.79,2
1,1,5,9500,1,1,129.0,37,37,9,128.8,1,0,1,0,0,19,0,7,7,6,12.66666667,0,7,12.66666667,0,7.6,2.6,0.32,2
1,1,6,9773,1,1,116.0,19,1,4,110.1,1,0,1,0,1,19,0,6,8,6,12.66666667,0,10,12.0,0,12.4,0.5,1.79,2
1,51,1,9147,1,1,99.0,3,1,3,99.7,1,1,0,0,0,22,0,5,8,0,0.0,0,7,0.0,0,8.9,1.4,3.51,1
1,1,3,9238,1,1,135.0,1,12,9,121.0,1,0,1,0,1,19,0,6,7,6,11.33333333,0,6,11.5,0,12.4,0.5,1.79,2
1,1,3,9500,1,1,141.0,19,19,9,131.7,1,0,1,0,1,19,0,7,10,7,13.605,0,11,12.33125,0,15.5,2.8,-4.06,2
1,17,5,9853,1,1,132.0,37,38,5,119.1,1,0,1,0,1,19,0,6,10,5,12.0,0,9,10.8,0,9.4,-0.8,-3.12,2
1,1,4,9254,1,1,132.0,12,19,9,124.7,1,0,1,0,0,19,0,5,10,0,0.0,0,10,0.0,0,7.6,2.6,0.32,0
1,17,1,9254,1,1,113.0,1,37,9,117.2,1,0,1,0,0,20,0,6,8,5,11.2,0,12,11.66666667,0,7.6,2.6,0.32,0
1,1,1,9147,1,1,134.0,3,19,2,128.8,0,0,1,0,0,18,0,5,10,5,13.375,0,9,14.16666667,0,13.9,-0.3,0.79,2
1,1,1,9500,1,1,136.0,1,19,9,131.5,0,0,1,0,1,20,0,7,8,6,13.86333333,0,9,14.17857143,0,11.1,0.6,2.02,2
1,1,1,171,1,1,136.0,3,37,2,121.7,1,0,1,0,0,18,0,0,0,0,0.0,0,0,0.0,0,9.4,-0.8,-3.12,1
1,1,1,9085,1,1,129.0,1,38,4,123.4,0,0,1,0,0,19,0,5,6,5,12.4,0,6,13.4,0,7.6,2.6,0.32,2
1,17,1,9853,1,1,138.0,38,38,7,124.7,1,0,1,0,0,18,0,6,11,3,12.33333333,0,10,10.83333333,0,9.4,-0.8,-3.12,1
1,1,1,9853,1,1,137.0,37,37,9,132.8,1,0,1,0,0,18,0,6,7,6,13.33333333,0,8,11.8,0,7.6,2.6,0.32,2
1,43,1,9853,1,1,115.0,3,37,2,108.7,1,0,1,0,0,21,0,6,10,3,12.66666667,0,12,10.0,0,9.4,-0.8,-3.12,0
1,1,1,9853,1,1,129.0,38,37,6,138.1,0,0,1,0,0,19,0,6,8,6,12.0,0,10,11.5,0,7.6,2.6,0.32,0
1,1,1,9147,1,1,131.0,38,38,9,126.5,0,0,1,0,1,18,0,5,5,5,10.6,0,5,11.8,0,12.4,0.5,1.79,2
1,17,2,9238,1,1,133.0,1,37,7,127.4,1,0,1,0,1,18,0,6,8,6,12.25,0,7,11.85714286,0,12.7,3.7,-1.7,2
1,1,3,9238,1,1,125.0,19,1,9,123.6,1,0,1,0,0,20,0,6,10,4,11.0,0,9,11.83333333,0,9.4,-0.8,-3.12,2
1,39,1,8014,0,1,120.0,1,19,6,122.0,0,0,1,0,1,24,0,6,11,5,11.0,0,9,12.6,0,11.1,0.6,2.02,2
1,1,1,9670,1,1,128.0,19,1,4,118.2,0,0,1,0,0,19,0,6,6,6,13.16666667,0,9,13.0,0,10.8,1.4,1.74,0
1,1,1,9500,1,1,127.0,19,37,9,123.9,1,0,1,0,1,18,0,7,9,7,12.85555556,0,12,12.76111111,0,15.5,2.8,-4.06,2
1,1,2,9500,1,1,134.0,19,19,9,125.8,1,0,1,0,0,18,0,7,8,7,14.91875,0,8,15.355,0,15.5,2.8,-4.06,2
1,17,5,9853,1,1,132.0,12,12,4,123.3,1,0,1,0,0,21,0,6,13,4,11.5,0,10,11.0,0,10.8,1.4,1.74,0
1,17,2,9670,1,1,124.0,1,19,5,124.4,0,0,1,0,0,19,0,5,5,5,14.2,0,5,14.2,0,7.6,2.6,0.32,2
1,17,1,9773,1,1,133.1,19,37,7,126.0,0,0,1,0,1,19,0,6,6,6,12.5,0,7,13.0,0,15.5,2.8,-4.06,2
3,39,1,9003,1,1,170.0,1,37,6,170.0,0,1,1,0,0,47,0,1,1,0,0.0,0,0,0.0,0,8.9,1.4,3.51,1
1,17,3,9238,1,1,125.0,19,19,7,121.5,0,0,1,0,0,19,0,6,10,5,11.66666667,0,12,11.0,0,13.9,-0.3,0.79,2
1,39,1,9500,1,3,130.0,2,2,1,130.0,0,0,1,0,0,29,1,8,8,7,14.25714286,0,8,14.25714286,0,12.7,3.7,-1.7,2
1,43,1,9238,1,1,125.0,19,19,4,117.0,1,0,1,0,0,21,0,6,13,3,12.0,0,12,11.33333333,0,16.2,0.3,-0.92,0
1,39,1,9085,1,1,130.0,37,19,9,130.0,1,0,1,0,0,28,0,5,13,4,11.25,1,11,10.5,0,12.7,3.7,-1.7,1
1,17,2,9556,1,1,133.1,37,37,3,108.0,0,0,1,0,0,20,0,7,8,7,12.45714286,0,8,13.5625,0,15.5,2.8,-4.06,2
1,17,1,9500,1,1,131.0,2,38,4,132.3,1,0,1,0,0,19,0,7,7,6,11.68333333,0,7,11.68333333,0,7.6,2.6,0.32,2
1,42,1,8014,0,1,150.0,19,2,4,148.0,0,0,1,0,0,26,0,6,10,3,11.66666667,0,8,12.0,0,9.4,-0.8,-3.12,2
